,Min. temp. diff. COND [K],Min. temp. diff. EVA [K],Min. temp. diff. IHX [K]
8.0,6.658,4.886,0.0
7.5,6.152,4.99,0.0
7.0,5.646,5.095,0.0
6.5,5.14,5.201,0.0
6.0,4.634,5.308,0.0
