,Min. temp. diff. COND [K],Min. temp. diff. EVA [K],Min. temp. diff. IHX [K]
8.0,6.7,4.772,5.0
7.5,6.194,4.871,5.0
7.0,5.688,4.972,5.0
6.5,5.182,5.073,5.0
6.0,4.676,5.176,5.0
