,Min. temp. diff. COND [K],Min. temp. diff. EVA [K],Min. temp. diff. IHX [K]
8.0,6.658,2.532,0.0
7.5,6.152,2.648,0.0
7.0,5.646,2.759,0.0
6.5,5.14,2.867,0.0
6.0,4.634,2.976,0.0
