,Min. temp. diff. COND [K],Min. temp. diff. EVA [K],Min. temp. diff. IHX [K]
8.0,6.686,4.553,5.0
7.5,6.18,4.66,5.0
7.0,5.674,4.758,5.0
6.5,5.168,4.858,5.0
6.0,4.662,4.959,5.0
