k,l,ED [kW],epsilon [%],ED EN [kW],ED EX [kW],m EN [kg/s],m EX [kg/s],ED kl [kW],ED EX kl [kW],ED MX [kW],ED UN [kW],ED AV [kW],ED UN EN [kW],ED UN EX [kW],ED AV EN [kW],ED AV EX [kW],ED AV EX kl [kW],ED AV SUM [kW]
pump,,1.26314,85.2967,1.46362,-0.20047,6.17001,0.63445,,,-0.02612,0.37772,0.88543,0.43766,-0.05995,1.02596,-0.14053,,1.03555
pump,eva,,,,,6.49926,0.3052,1.30077,-0.16285,,,,,,,,-0.11415,
pump,ihx,,,,,6.07418,0.73028,1.48769,0.02408,,,,,,,,0.01688,
pump,exp,,,,,6.28086,0.5236,1.4661,0.00248,,,,,,,,0.00174,
pump,cond,,,,,6.47592,0.32854,1.42555,-0.03807,,,,,,,,-0.02668,
eva,,60.86906,78.39718,62.68882,-1.81977,6.49725,0.30721,,,-0.15026,44.77939,16.08967,44.4105,0.36889,18.27833,-2.18866,,18.40018
eva,pump,,,,,6.49926,0.3052,62.66829,-0.02054,,,,,,,,-0.0247,
eva,ihx,,,,,6.40547,0.39899,63.7523,1.06347,,,,,,,,1.27905,
eva,exp,,,,,6.59769,0.20677,61.80585,-0.88297,,,,,,,,-1.06196,
eva,cond,,,,,6.81034,-0.00588,60.85934,-1.82948,,,,,,,,-2.20034,
ihx,,7.21421,53.99151,4.15666,3.05754,6.07185,0.73261,,,0.23003,4.54693,2.66728,0.83189,3.71504,3.32477,-0.6575,,4.61415
ihx,pump,,,,,6.07418,0.73028,4.1272,-0.02947,,,,,,,,0.00634,
ihx,eva,,,,,6.40547,0.39899,5.12486,0.9682,,,,,,,,-0.2082,
ihx,exp,,,,,6.18327,0.62119,5.12217,0.96551,,,,,,,,-0.20762,
ihx,cond,,,,,6.36916,0.4353,5.07993,0.92327,,,,,,,,-0.19854,
exp,,17.13176,91.03062,21.25058,-4.11882,6.27845,0.52601,,,-0.31142,8.14234,8.98942,10.09993,-1.95758,11.15065,-2.16124,,10.20627
exp,pump,,,,,6.28086,0.5236,21.25653,0.00595,,,,,,,,0.00312,
exp,eva,,,,,6.59769,0.20677,20.12238,-1.1282,,,,,,,,-0.59199,
exp,ihx,,,,,6.18327,0.62119,20.81944,-0.43114,,,,,,,,-0.22623,
exp,cond,,,,,6.57773,0.22673,18.99657,-2.25401,,,,,,,,-1.18273,
cond,,30.00607,,27.78655,2.21952,6.47365,0.33081,,,0.01386,12.44989,17.55618,11.84462,0.60527,15.94194,1.61425,,12.33364
cond,pump,,,,,6.47592,0.32854,27.8207,0.03414,,,,,,,,0.02483,
cond,eva,,,,,6.81034,-0.00588,29.21129,1.42473,,,,,,,,1.0362,
cond,ihx,,,,,6.36916,0.4353,28.08859,0.30203,,,,,,,,0.21967,
cond,exp,,,,,6.57773,0.22673,28.2313,0.44474,,,,,,,,0.32346,
