k,l,ED [kW],epsilon [%],ED EN [kW],ED EX [kW],m EN [kg/s],m EX [kg/s],ED kl [kW],ED EX kl [kW],ED MX [kW],ED UN [kW],ED AV [kW],ED UN EN [kW],ED UN EX [kW],ED AV EN [kW],ED AV EX [kW],ED AV EX kl [kW],ED AV SUM [kW]
comp,,87.08675,90.1483,80.62711,6.45964,11.85708,-0.59862,,,-0.25103,27.20321,59.88354,25.18542,2.01779,55.44169,4.44185,,51.43033
comp,cond,,,,,11.33853,-0.08007,81.0207,0.39359,,,,,,,,0.27065,
comp,ihx,,,,,12.12991,-0.87145,82.06892,1.44181,,,,,,,,0.99143,
comp,val,,,,,11.85708,-0.59862,80.62711,0.0,,,,,,,,0.0,
comp,eva,,,,,11.52243,-0.26397,85.50238,4.87527,,,,,,,,3.35238,
cond,,98.41066,86.04333,98.41066,-0.0,11.87555,-0.61709,,,0.0,83.28983,15.12083,83.28984,-1e-05,15.12082,1e-05,,17.14603
cond,comp,,,,,11.33853,-0.08007,98.41066,-0.0,,,,,,,,2e-05,
cond,ihx,,,,,12.15345,-0.89499,98.41066,0.0,,,,,,,,-1e-05,
cond,val,,,,,11.87555,-0.61709,98.41066,0.0,,,,,,,,-0.0,
cond,eva,,,,,11.56444,-0.30598,98.41066,0.0,,,,,,,,-1e-05,
ihx,,31.02177,63.18627,26.35771,4.66406,12.6673,-1.40884,,,-0.75402,23.64578,7.37599,22.58876,1.05702,3.76895,3.60704,,12.1666
ihx,comp,,,,,12.12991,-0.87145,25.23954,-1.11816,,,,,,,,-0.86475,
ihx,cond,,,,,12.15345,-0.89499,28.81987,2.46216,,,,,,,,1.90416,
ihx,val,,,,,12.6673,-1.40884,26.35771,0.0,,,,,,,,0.0,
ihx,eva,,,,,12.33455,-1.07609,30.43179,4.07408,,,,,,,,3.15077,
val,,23.0662,56.6811,17.01546,6.05075,12.37292,-1.11446,,,0.32784,23.06621,-1e-05,25.3495,-2.28329,-8.33404,8.33404,,-8.57254
val,comp,,,,,11.85708,-0.59862,15.79899,-1.21646,,,,,,,,-1.67551,
val,cond,,,,,11.87555,-0.61709,18.08724,1.07179,,,,,,,,1.47623,
val,ihx,,,,,12.6673,-1.40884,22.58555,5.57009,,,,,,,,7.67201,
val,eva,,,,,12.05562,-0.79716,17.31295,0.29749,,,,,,,,0.40975,
eva,,37.68653,,42.47936,-4.79283,12.05562,-0.79716,,,-0.17645,14.8853,22.80122,15.93926,-1.05396,26.54009,-3.73887,,33.45299
eva,comp,,,,,11.52243,-0.26397,40.59353,-1.88582,,,,,,,,-1.47112,
eva,cond,,,,,11.56444,-0.30598,40.39521,-2.08414,,,,,,,,-1.62583,
eva,ihx,,,,,12.33455,-1.07609,42.13866,-0.3407,,,,,,,,-0.26578,
eva,val,,,,,12.05562,-0.79716,42.17363,-0.30572,,,,,,,,-0.23849,
