Label,Component,ED [kW]
all_real,comp,87.086748
all_real,cond,98.410657
all_real,ihx,31.021768
all_real,val,23.066203
all_real,eva,37.686526
all_real,tot,277.271901
all_ideal,comp,0.0
all_ideal,cond,-0.0
all_ideal,ihx,0.0
all_ideal,val,-0.0
all_ideal,eva,0.0
all_ideal,tot,0.0
comp,comp,80.627109
comp,cond,-0.0
comp,ihx,-0.0
comp,val,0.0
comp,eva,0.0
comp,tot,80.627109
cond,comp,-0.0
cond,cond,98.410657
cond,ihx,0.0
cond,val,-0.0
cond,eva,0.0
cond,tot,98.410657
ihx,comp,0.0
ihx,cond,0.0
ihx,ihx,26.357707
ihx,val,0.0
ihx,eva,0.0
ihx,tot,26.357707
val,comp,0.0
val,cond,-0.0
val,ihx,0.0
val,val,17.015457
val,eva,0.0
val,tot,17.015457
eva,comp,0.0
eva,cond,-0.0
eva,ihx,0.0
eva,val,0.0
eva,eva,42.479355
eva,tot,42.479355
comp_cond,comp,81.020701
comp_cond,cond,98.410657
comp_cond,ihx,0.0
comp_cond,val,-0.0
comp_cond,eva,0.0
comp_cond,tot,179.431359
comp_ihx,comp,82.068917
comp_ihx,cond,-0.0
comp_ihx,ihx,25.239543
comp_ihx,val,0.0
comp_ihx,eva,0.0
comp_ihx,tot,107.30846
comp_val,comp,80.627109
comp_val,cond,-0.0
comp_val,ihx,-0.0
comp_val,val,15.798993
comp_val,eva,0.0
comp_val,tot,96.426102
comp_eva,comp,85.502375
comp_eva,cond,-0.0
comp_eva,ihx,0.0
comp_eva,val,0.0
comp_eva,eva,40.593532
comp_eva,tot,126.095908
cond_ihx,comp,-0.0
cond_ihx,cond,98.410657
cond_ihx,ihx,28.819869
cond_ihx,val,-0.0
cond_ihx,eva,0.0
cond_ihx,tot,127.230527
cond_val,comp,-0.0
cond_val,cond,98.410657
cond_val,ihx,0.0
cond_val,val,18.087243
cond_val,eva,0.0
cond_val,tot,116.497901
cond_eva,comp,-0.0
cond_eva,cond,98.410657
cond_eva,ihx,-0.0
cond_eva,val,0.0
cond_eva,eva,40.395214
cond_eva,tot,138.805872
ihx_val,comp,-0.0
ihx_val,cond,-0.0
ihx_val,ihx,26.357707
ihx_val,val,22.58555
ihx_val,eva,0.0
ihx_val,tot,48.943257
ihx_eva,comp,-0.0
ihx_eva,cond,-0.0
ihx_eva,ihx,30.431788
ihx_eva,val,-0.0
ihx_eva,eva,42.13866
ihx_eva,tot,72.570448
val_eva,comp,0.0
val_eva,cond,-0.0
val_eva,ihx,0.0
val_eva,val,17.312946
val_eva,eva,42.173635
val_eva,tot,59.486581
comp_unavoid,comp,44.471444
comp_unavoid,cond,97.72825
comp_unavoid,ihx,31.788389
comp_unavoid,val,23.893255
comp_unavoid,eva,38.619654
comp_unavoid,tot,236.500992
cond_unavoid,comp,86.188592
cond_unavoid,cond,83.289832
cond_unavoid,ihx,29.149918
cond_unavoid,val,21.83999
cond_unavoid,eva,38.049805
cond_unavoid,tot,258.518136
ihx_unavoid,comp,85.77525
ihx_unavoid,cond,99.00457
ihx_unavoid,ihx,26.136003
ihx_unavoid,val,20.180445
ihx_unavoid,eva,37.727433
ihx_unavoid,tot,268.823701
val_unavoid,comp,87.086748
val_unavoid,cond,98.410657
val_unavoid,ihx,31.021768
val_unavoid,val,23.066203
val_unavoid,eva,37.686526
val_unavoid,tot,277.271901
eva_unavoid,comp,84.862543
eva_unavoid,cond,97.869291
eva_unavoid,ihx,28.697833
eva_unavoid,val,22.570777
eva_unavoid,eva,15.151473
eva_unavoid,tot,249.151918
