,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
pump,17.5494,17.5494,-0.0,1.0,17.5494,,-6.37386758031705e-13
eva,606.7048,606.7048,0.0,1.0,119.8823,2530.9042932089374,1.676626921172216e-13
ihx,6.0911,6.0911,-0.0,1.0,2.2447,146.57635943412313,-5.443372463766296e-13
exp,502.0687,502.0687,0.0,1.0,502.0687,,1.6503165845480107e-15
cond,,,0.0584,,,1924.2579121577924,0.009071658854423958
tot,606.7048,606.6464,0.0584,0.9999,606.6464,,9.622652103528409e-05
