,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
pump,19.697,16.8036,2.8935,0.8531,19.697,,0.1721946825440589
eva,606.7048,606.7048,0.0,1.0,109.2689,2530.9042932090388,2.0883555575106088e-13
ihx,15.3854,15.3854,0.0,1.0,4.1205,218.3022379751409,9.58263215120166e-13
exp,464.9569,464.9569,-0.0,1.0,464.9569,,-5.593962893731267e-15
cond,,,45.162,,,1972.2550005625778,6.70731471889792
tot,606.7048,558.6493,48.0555,0.9208,558.6493,,0.08602080859681083
