,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
pump,15.4502,15.4502,0.0,1.0,15.4502,,1.4265358358711516e-12
eva,606.7048,486.5867,120.1181,0.802,-0.0,2530.9042932090215,0.24685861380701238
ihx,17.4949,17.4949,0.0,1.0,6.5171,272.26011257169546,1.2327942175400755e-12
exp,495.4682,452.3027,43.1654,0.9129,452.3027,,0.09543485433269795
cond,,,0.0515,,,2087.53462143267,0.007375903241872096
tot,606.7048,443.3697,163.3351,0.7308,443.3697,,0.3683948071845246
