,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
pump,17.2647385319156,14.72855899194268,2.53617953997292,0.8531006110932675,17.2647385319156,,0.172194682545682
eva,606.7047565221721,486.5284508578277,120.17630566434447,0.801919625036016,4.547473508864641e-13,2530.9042932092134,0.24700776584073217
ihx,34.343647688673286,19.623231247837182,14.720416440836106,0.5713787721596336,-4.108000092366893e-13,324.1091437588074,0.7501525235533546
exp,437.0462170784116,398.97052330386765,38.075693774543915,0.9128794798200652,398.97052330386765,,0.09543485433269552
cond,,,49.49037633052308,,,2149.198508437261,6.8481064461565495
tot,606.7047565221721,381.7057847719521,224.9989717502205,0.6291458582919526,381.7057847719521,,0.5894565414685681
