,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
comp,785.6899,785.6899,0.0,1.0,785.6899,,1.3830036192722743e-14
cond,704.5615,704.5615,-0.0,1.0,97.8568,2530.9042932092134,-3.0008270453852647e-13
ihx,81.227,81.227,0.0,1.0,21.6418,694.9862218295259,9.511246608319769e-15
val,17.0072,17.0072,0.0,1.0,17.0072,,1.9314256860525348e-13
eva,,,42.4794,,,1881.720181560682,3.5236128623278162
tot,649.1841,606.7048,42.4794,0.9346,649.1841,,0.07001651902296564
