,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
pump,11.2554,9.5845,1.671,0.8515,11.2554,,0.1743393603907567
eva,369.3732,291.2547,78.1185,0.7885,0.0,1682.2612707592457,0.268213717130571
ihx,6.9254,2.2646,4.6608,0.327,-0.0,86.4742873363594,2.058137073911895
exp,282.6831,256.203,26.4802,0.9063,256.203,,0.10335617664989855
cond,,,13.4952,,,1437.3137093660173,2.8273113110016936
tot,369.3732,244.9476,124.4256,0.6631,244.9476,,0.5079685040977306
