,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
pump,10.1426,10.1426,-0.0,1.0,10.1426,,-1.2831068883269373e-12
eva,369.3732,369.3732,0.0,1.0,70.9184,1682.2612707592411,6.379291425670318e-13
ihx,3.0167,3.0167,-0.0,1.0,0.6943,67.35062363036722,-1.0777551735631668e-12
exp,277.1387,277.1387,0.0,1.0,277.1387,,0.0
cond,,,30.7644,,,1343.6524931250476,6.696459021648629
tot,369.3732,338.6088,30.7644,0.9167,338.6088,,0.09085538277306839
