label,cop
optimal_all_real,3.0612724601005765
optimal_ihx_val,4.200370993243349
optimal_ihx_eva,4.015612335369065
optimal_ihx,4.342623691572002
optimal_val,4.440952257226084
optimal_all_ideal,4.55436733231485
optimal_comp_ihx,3.8418592390065864
optimal_val_eva,4.123354868570167
optimal_eva,4.222923025568157
optimal_comp_val,3.9249487219025543
optimal_comp,4.0083915854687096
optimal_comp_eva,3.729259606084303
optimal_comp_unavoid,3.218613019973406
optimal_cond_unavoid,3.141168218052227
optimal_ihx_unavoid,3.0910660987115666
optimal_eva_unavoid,3.1773005672192305
optimal_val_unavoid,3.0612724601005765
optimal_comp_cond,3.4763883159722315
optimal_cond_eva,3.6545865493422465
optimal_cond_val,3.794854421533715
optimal_cond,3.8882697505773023
optimal_cond_ihx,3.704759137245436
optimal_all_real,3.0612724601005765
optimal_ihx_val,4.200370993243349
optimal_ihx_eva,4.015612335369065
optimal_ihx,4.342623691572002
optimal_val,4.440952257226084
optimal_all_ideal,4.55436733231485
optimal_comp_ihx,3.8418592390065864
optimal_comp_val,3.9249487219025543
optimal_comp,4.0083915854687096
optimal_eva,4.222923025568157
optimal_cond_unavoid,3.141168218052227
optimal_comp_unavoid,3.218613019973406
optimal_ihx_unavoid,3.0910660987115666
optimal_comp_eva,3.729259606084303
optimal_eva_unavoid,3.1773005672192305
optimal_val_unavoid,3.0612724601005765
optimal_comp_cond,3.4763883159722315
optimal_cond_eva,3.6545865493422465
optimal_cond_val,3.794854421533715
optimal_cond,3.8882697505773023
optimal_cond_ihx,3.704759137245436
optimal_all_real,3.0612724601005765
optimal_ihx,4.342623691572002
optimal_ihx_val,4.200370993243349
optimal_ihx_eva,4.015612335369065
optimal_val,4.440952257226084
optimal_all_ideal,4.55436733231485
optimal_comp_ihx,3.8418592390065864
optimal_comp_val,3.9249487219025543
optimal_comp,4.0083915854687096
optimal_val_eva,4.123354868570167
optimal_eva,4.222923025568157
optimal_cond_unavoid,3.141168218052227
optimal_comp_eva,3.729259606084303
optimal_ihx_unavoid,3.0910660987115666
optimal_eva_unavoid,3.1773005672192305
optimal_val_unavoid,3.0612724601005765
optimal_comp_cond,3.4763883159722315
optimal_cond_eva,3.6545865493422465
optimal_cond_val,3.794854421533715
optimal_cond,3.8882697505773023
optimal_cond_ihx,3.704759137245436
optimal_all_real,3.0612724601005765
optimal_ihx_eva,4.015612335369065
optimal_ihx_val,4.200370993243349
optimal_ihx,4.342623691572002
optimal_val,4.440952257226084
optimal_all_ideal,4.55436733231485
optimal_comp_ihx,3.8418592390065864
optimal_comp_val,3.9249487219025543
optimal_val_eva,4.123354868570167
optimal_comp,4.0083915854687096
optimal_eva,4.222923025568157
optimal_cond_unavoid,3.141168218052227
optimal_comp_unavoid,3.28589419379258
optimal_ihx_unavoid,3.0910660987115666
optimal_eva_unavoid,3.1773005672192305
optimal_comp_eva,3.729259606084303
optimal_val_unavoid,3.0612724601005765
optimal_cond_eva,3.6545865493422465
optimal_comp_cond,3.4763883159722315
optimal_cond_val,3.794854421533715
optimal_cond,3.8882697505773023
optimal_cond_ihx,3.704759137245436
optimal_all_real,3.0612724601005765
optimal_ihx,4.342623691572002
optimal_ihx_val,4.200370993243349
optimal_ihx_eva,4.015612335369065
optimal_all_ideal,4.55436733231485
optimal_val,4.440952257226084
optimal_comp_ihx,3.8418592390065864
optimal_comp_val,3.9249487219025543
optimal_val_eva,4.123354868570167
optimal_eva,4.222923025568157
optimal_comp,4.0083915854687096
optimal_comp_unavoid,3.28589419379258
optimal_comp_eva,3.729259606084303
optimal_cond_unavoid,3.141168218052227
optimal_eva_unavoid,3.1773005672192305
optimal_ihx_unavoid,3.0910660987115666
optimal_val_unavoid,3.0612724601005765
optimal_comp_cond,3.4763883159722315
optimal_cond_eva,3.6545865493422465
optimal_cond_val,3.794854421533715
optimal_cond_ihx,3.704759137245436
