Label,Component,ED [kW]
all_real,comp,55.536396
all_real,cond,63.277143
all_real,ihx,21.346606
all_real,val,14.07764
all_real,eva,25.919079
all_real,tot,180.156863
all_ideal,comp,0.0
all_ideal,cond,-0.0
all_ideal,ihx,0.0
all_ideal,val,-0.0
all_ideal,eva,0.0
all_ideal,tot,0.0
comp,comp,50.311655
comp,cond,-0.0
comp,ihx,-0.0
comp,val,0.0
comp,eva,0.0
comp,tot,50.311655
cond,comp,0.0
cond,cond,63.277143
cond,ihx,-0.0
cond,val,0.0
cond,eva,0.0
cond,tot,63.277143
ihx,comp,0.0
ihx,cond,-0.0
ihx,ihx,18.010409
ihx,val,-0.0
ihx,eva,0.0
ihx,tot,18.010409
val,comp,0.0
val,cond,-0.0
val,ihx,0.0
val,val,9.433222
val,eva,0.0
val,tot,9.433222
eva,comp,0.0
eva,cond,-0.0
eva,ihx,0.0
eva,val,-0.0
eva,eva,28.990973
eva,tot,28.990973
comp_cond,comp,51.260282
comp_cond,cond,63.277143
comp_cond,ihx,-0.0
comp_cond,val,-0.0
comp_cond,eva,0.0
comp_cond,tot,114.537425
comp_ihx,comp,51.193657
comp_ihx,cond,-0.0
comp_ihx,ihx,17.309998
comp_ihx,val,-0.0
comp_ihx,eva,0.0
comp_ihx,tot,68.503655
comp_val,comp,50.311655
comp_val,cond,-0.0
comp_val,ihx,-0.0
comp_val,val,8.922335
comp_val,eva,0.0
comp_val,tot,59.233989
comp_eva,comp,53.923943
comp_eva,cond,-0.0
comp_eva,ihx,-0.0
comp_eva,val,0.0
comp_eva,eva,27.800775
comp_eva,tot,81.724717
cond_ihx,comp,-0.0
cond_ihx,cond,63.277143
cond_ihx,ihx,21.430794
cond_ihx,val,0.0
cond_ihx,eva,0.0
cond_ihx,tot,84.707937
cond_val,comp,0.0
cond_val,cond,63.277143
cond_val,ihx,-0.0
cond_val,val,10.650257
cond_val,eva,0.0
cond_val,tot,73.9274
cond_eva,comp,0.0
cond_eva,cond,63.277143
cond_eva,ihx,-0.0
cond_eva,val,-0.0
cond_eva,eva,27.664721
cond_eva,tot,90.941864
ihx_val,comp,-0.0
ihx_val,cond,-0.0
ihx_val,ihx,18.010409
ihx_val,val,13.119404
ihx_val,eva,0.0
ihx_val,tot,31.129813
ihx_eva,comp,0.0
ihx_eva,cond,-0.0
ihx_eva,ihx,20.798383
ihx_eva,val,0.0
ihx_eva,eva,28.758607
ihx_eva,tot,49.55699
val_eva,comp,0.0
val_eva,cond,-0.0
val_eva,ihx,-0.0
val_eva,val,9.792364
val_eva,eva,28.818055
val_eva,tot,38.610418
comp_unavoid,comp,28.297557
comp_unavoid,cond,62.118653
comp_unavoid,ihx,21.852361
comp_unavoid,val,14.490927
comp_unavoid,eva,26.533817
comp_unavoid,tot,153.293314
cond_unavoid,comp,54.76929
cond_unavoid,cond,51.913219
cond_unavoid,ihx,20.072077
cond_unavoid,val,13.231649
cond_unavoid,eva,26.193305
cond_unavoid,tot,166.17954
ihx_unavoid,comp,54.656617
ihx_unavoid,cond,64.130247
ihx_unavoid,ihx,17.99089
ihx_unavoid,val,12.146819
ihx_unavoid,eva,25.935574
ihx_unavoid,tot,174.860146
val_unavoid,comp,55.536396
val_unavoid,cond,63.277143
val_unavoid,ihx,21.346606
val_unavoid,val,14.07764
val_unavoid,eva,25.919079
val_unavoid,tot,180.156863
eva_unavoid,comp,53.906203
eva_unavoid,cond,62.342357
eva_unavoid,ihx,19.757505
eva_unavoid,val,13.656101
eva_unavoid,eva,10.427055
eva_unavoid,tot,160.08922
