,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
comp,260.1978,234.3723,25.8254,0.9007,260.1978,,0.11018977519947001
cond,205.0552,205.0552,0.0,1.0,29.2671,840.2116355580296,1.686010780023917e-12
ihx,30.0205,30.0205,-0.0,1.0,8.8097,229.57313126237094,-1.501193650075447e-14
val,6.1654,6.1654,-0.0,1.0,6.1654,,-1.9314256860525343e-13
eva,,,14.342,,,624.2561497850569,4.003659307005005
tot,215.9555,175.788,40.1675,0.814,215.9555,,0.228499413502061
