,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
comp,433.4961,388.1483,45.3478,0.8954,433.4961,,0.11683109779516278
cond,373.0908,373.0908,0.0,1.0,61.2773,1677.7263927672604,1.1319989891983133e-12
ihx,28.4351,28.4351,-0.0,1.0,7.1117,292.8032726314734,-9.848989517565156e-14
val,7.9458,7.9458,-0.0,1.0,7.9458,,-1.287617124035023e-13
eva,,,0.0,,,1320.5651436424967,2.7223450160818174e-09
tot,357.1612,311.8135,45.3478,0.873,357.1612,,0.14543243435574835
