,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
comp,462.0502,436.1586,25.8916,0.944,462.0502,,0.0593627443065245
cond,380.5558,311.8135,68.7424,0.8194,0.0,1677.7263927669721,0.22045988632703398
ihx,33.5577,18.287,15.2706,0.5449,0.0,318.43471106772273,0.8350508952745288
val,34.5814,22.2306,12.3508,0.6428,0.0,,1.755497179479305
eva,,,27.9814,,,1215.6761871602844,3.9771906548774894
tot,462.0502,311.8135,150.2367,0.6748,462.0502,,0.48181610714752476
