,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
comp,428.0124,428.0124,-0.0,1.0,428.0124,,-1.574717522357929e-14
cond,372.2078,372.2078,0.0,1.0,60.3943,1677.7263927672604,1.135376398849363e-12
ihx,29.0896,14.9402,14.1494,0.5136,0.0,303.9984986461079,0.9470728592955987
val,11.3862,11.3862,0.0,1.0,11.3862,,2.4979772206279443e-11
eva,,,30.2689,,,1321.4945864223773,4.047835556944143
tot,356.2318,311.8135,44.4183,0.8753,356.2318,,0.1424516689211947
