,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
comp,431.3878,431.3878,0.0,1.0,431.3878,,1.3675366127139252e-14
cond,381.5975,311.8135,69.7841,0.8171,0.0,1677.7263927668769,0.22380066405293272
ihx,37.4076,37.4076,-0.0,1.0,11.2841,360.04690642259516,-1.2047444136965345e-13
val,9.5869,9.5869,-0.0,1.0,9.5869,,-6.438085620175116e-14
eva,,,28.9193,,,1267.2095923138122,4.102804216158226
tot,410.5168,311.8135,98.7033,0.7596,410.5168,,0.3165461237456642
