,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
comp,497.8315,447.5198,50.3117,0.8989,497.8315,,0.11242329275812202
cond,426.6127,426.6127,-0.0,1.0,57.2395,1682.2612707592402,-6.277926999980645e-14
ihx,52.7248,52.7248,-0.0,1.0,11.9848,429.7625852145502,-1.0989657820795362e-14
val,8.9223,8.9223,0.0,1.0,8.9223,,6.438085620175115e-14
eva,,,0.0,,,1262.5764084174962,3.3659119935691706e-10
tot,419.6849,369.3732,50.3117,0.8801,419.6849,,0.13620818606146298
