,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
comp,533.5749,479.651,53.9239,0.8989,533.5749,,0.11242329275811502
cond,428.5464,428.5464,-0.0,1.0,59.1732,1682.2612707593066,-3.0707171920823424e-13
ihx,53.2657,53.2657,-0.0,1.0,14.2284,455.32077385050167,-1.4383228029924394e-13
val,9.0755,9.0755,0.0,1.0,9.0755,,5.794277058157604e-13
eva,,,27.8008,,,1231.1633455800861,3.519864118505051
tot,451.0979,369.3732,81.7247,0.8188,451.0979,,0.22125242364902495
