Label,Component,ED [kW]
all_real,comp,45.06336
all_real,cond,58.924405
all_real,ihx,14.955465
all_real,val,11.720923
all_real,eva,23.83438
all_real,tot,154.498532
all_ideal,comp,-0.0
all_ideal,cond,0.0
all_ideal,ihx,-0.0
all_ideal,val,0.0
all_ideal,eva,0.0
all_ideal,tot,0.0
comp,comp,40.037125
comp,cond,-0.0
comp,ihx,0.0
comp,val,-0.0
comp,eva,0.0
comp,tot,40.037125
cond,comp,-0.0
cond,cond,58.924405
cond,ihx,0.0
cond,val,-0.0
cond,eva,0.0
cond,tot,58.924405
ihx,comp,-0.0
ihx,cond,-0.0
ihx,ihx,12.065778
ihx,val,-0.0
ihx,eva,0.0
ihx,tot,12.065778
val,comp,-0.0
val,cond,0.0
val,ihx,-0.0
val,val,8.068729
val,eva,0.0
val,tot,8.068729
eva,comp,0.0
eva,cond,0.0
eva,ihx,-0.0
eva,val,0.0
eva,eva,26.464847
eva,tot,26.464847
comp_cond,comp,41.292012
comp_cond,cond,58.924405
comp_cond,ihx,-0.0
comp_cond,val,-0.0
comp_cond,eva,0.0
comp_cond,tot,100.216417
comp_ihx,comp,40.639493
comp_ihx,cond,-0.0
comp_ihx,ihx,11.653104
comp_ihx,val,0.0
comp_ihx,eva,0.0
comp_ihx,tot,52.292597
comp_val,comp,40.037125
comp_val,cond,-0.0
comp_val,ihx,0.0
comp_val,val,7.677253
comp_val,eva,0.0
comp_val,tot,47.714378
comp_eva,comp,43.47685
comp_eva,cond,0.0
comp_eva,ihx,0.0
comp_eva,val,0.0
comp_eva,eva,25.495779
comp_eva,tot,68.972629
cond_ihx,comp,0.0
cond_ihx,cond,58.924405
cond_ihx,ihx,15.603283
cond_ihx,val,-0.0
cond_ihx,eva,0.0
cond_ihx,tot,74.527688
cond_val,comp,-0.0
cond_val,cond,58.924405
cond_val,ihx,0.0
cond_val,val,9.504146
cond_val,eva,0.0
cond_val,tot,68.428551
cond_eva,comp,0.0
cond_eva,cond,58.924405
cond_eva,ihx,0.0
cond_eva,val,0.0
cond_eva,eva,25.229319
cond_eva,tot,84.153724
ihx_val,comp,0.0
ihx_val,cond,0.0
ihx_val,ihx,12.065778
ihx_val,val,10.646956
ihx_val,eva,0.0
ihx_val,tot,22.712734
ihx_eva,comp,-0.0
ihx_eva,cond,0.0
ihx_eva,ihx,14.257387
ihx_eva,val,-0.0
ihx_eva,eva,26.325755
ihx_eva,tot,40.583143
val_eva,comp,0.0
val_eva,cond,0.0
val_eva,ihx,-0.0
val_eva,val,8.427357
val_eva,eva,26.316032
val_eva,tot,34.743389
comp_unavoid,comp,14.03684
comp_unavoid,cond,57.153027
comp_unavoid,ihx,15.407154
comp_unavoid,val,12.165924
comp_unavoid,eva,24.554388
comp_unavoid,tot,123.317334
cond_unavoid,comp,44.252594
cond_unavoid,cond,47.997226
cond_unavoid,ihx,13.917851
cond_unavoid,val,10.913566
cond_unavoid,eva,24.096116
cond_unavoid,tot,141.177353
ihx_unavoid,comp,44.417755
ihx_unavoid,cond,59.837214
ihx_unavoid,ihx,12.615974
ihx_unavoid,val,10.275425
ihx_unavoid,eva,23.82994
ihx_unavoid,tot,150.976309
val_unavoid,comp,45.06336
val_unavoid,cond,58.924405
val_unavoid,ihx,14.955465
val_unavoid,val,11.720923
val_unavoid,eva,23.83438
val_unavoid,tot,154.498532
eva_unavoid,comp,43.510737
eva_unavoid,cond,57.734925
eva_unavoid,ihx,13.680853
eva_unavoid,val,11.34332
eva_unavoid,eva,9.590258
eva_unavoid,tot,135.860092
