k,l,ED [kW],epsilon [%],ED EN [kW],ED EX [kW],m EN [kg/s],m EX [kg/s],ED kl [kW],ED EX kl [kW],ED MX [kW],ED UN [kW],ED AV [kW],ED UN EN [kW],ED UN EX [kW],ED AV EN [kW],ED AV EX [kW],ED AV EX kl [kW],ED AV SUM [kW]
comp,,50.93596,89.53905,45.34779,5.58817,7.27626,-0.38477,,,-0.25729,25.88094,25.05502,23.04155,2.83939,22.30624,2.74878,,20.64901
comp,cond,,,,,6.97068,-0.07919,46.61627,1.26848,,,,,,,,0.62396,
comp,ihx,,,,,7.42502,-0.53353,46.05679,0.709,,,,,,,,0.34875,
comp,val,,,,,7.27626,-0.38477,45.34779,0.0,,,,,,,,0.0,
comp,eva,,,,,7.06519,-0.1737,49.21578,3.86799,,,,,,,,1.90263,
cond,,69.78406,81.71265,69.78406,-0.0,7.26235,-0.37086,,,0.0,57.55692,12.22714,57.55693,-1e-05,12.22713,1e-05,,15.03268
cond,comp,,,,,6.97068,-0.07919,69.78406,-0.0,,,,,,,,1e-05,
cond,ihx,,,,,7.42806,-0.53657,69.78406,-0.0,,,,,,,,1e-05,
cond,val,,,,,7.26235,-0.37086,69.78406,0.0,,,,,,,,-0.0,
cond,eva,,,,,7.04866,-0.15717,69.78406,-0.0,,,,,,,,2e-05,
ihx,,14.95795,54.49464,11.82281,3.13514,7.68336,-0.79187,,,-1.57068,10.66736,4.29059,9.47169,1.19567,2.35112,1.93947,,5.96745
ihx,comp,,,,,7.42502,-0.53353,11.42408,-0.39873,,,,,,,,-0.24666,
ihx,cond,,,,,7.42806,-0.53657,14.60075,2.77794,,,,,,,,1.71849,
ihx,val,,,,,7.68336,-0.79187,11.82281,-0.0,,,,,,,,-0.0,
ihx,eva,,,,,7.47781,-0.58632,14.14942,2.32661,,,,,,,,1.43929,
val,,12.015,64.44307,8.38134,3.63366,7.52543,-0.63394,,,-0.07471,12.015,0.0,13.12024,-1.10525,-4.73891,4.73891,,-4.8575
val,comp,,,,,7.27626,-0.38477,7.94582,-0.43551,,,,,,,,-0.56798,
val,cond,,,,,7.26235,-0.37086,9.60526,1.22393,,,,,,,,1.59621,
val,ihx,,,,,7.68336,-0.79187,10.95893,2.57759,,,,,,,,3.36161,
val,eva,,,,,7.32858,-0.43709,8.72371,0.34237,,,,,,,,0.44651,
eva,,27.40904,,30.39109,-2.98206,7.32858,-0.43709,,,-0.13957,10.81997,16.58907,11.50622,-0.68625,18.88487,-2.2958,,22.67332
eva,comp,,,,,7.06519,-0.1737,29.29663,-1.09446,,,,,,,,-0.8426,
eva,cond,,,,,7.04866,-0.15717,28.91928,-1.47181,,,,,,,,-1.13311,
eva,ihx,,,,,7.47781,-0.58632,30.26893,-0.12217,,,,,,,,-0.09405,
eva,val,,,,,7.32858,-0.43709,30.23705,-0.15405,,,,,,,,-0.1186,
