k,l,ED [kW],epsilon [%],ED EN [kW],ED EX [kW],m EN [kg/s],m EX [kg/s],ED kl [kW],ED EX kl [kW],ED MX [kW],ED UN [kW],ED AV [kW],ED UN EN [kW],ED UN EX [kW],ED AV EN [kW],ED AV EX [kW],ED AV EX kl [kW],ED AV SUM [kW]
pump,,2.09734,85.30938,2.35922,-0.26188,5.4281,0.63184,,,-0.05934,1.03558,1.06177,1.16488,-0.12931,1.19434,-0.13257,,1.16132
pump,eva,,,,,5.77199,0.28795,2.16716,-0.19206,,,,,,,,-0.09723,
pump,ihx,,,,,5.36004,0.6999,2.4009,0.04168,,,,,,,,0.0211,
pump,exp,,,,,5.5487,0.51124,2.35469,-0.00453,,,,,,,,-0.00229,
pump,cond,,,,,5.67632,0.38362,2.31159,-0.04763,,,,,,,,-0.02411,
eva,,96.29805,80.10033,102.01135,-5.7133,5.76977,0.29017,,,0.40522,75.88029,20.41776,74.76186,1.11844,27.2495,-6.83174,,28.39486
eva,pump,,,,,5.77199,0.28795,101.94424,-0.06711,,,,,,,,-0.08025,
eva,ihx,,,,,5.70736,0.35258,104.05717,2.04581,,,,,,,,2.4463,
eva,exp,,,,,5.87891,0.18103,99.14776,-2.8636,,,,,,,,-3.42417,
eva,cond,,,,,6.01611,0.04383,96.77773,-5.23363,,,,,,,,-6.25816,
ihx,,9.04276,52.38312,4.1204,4.92236,5.35742,0.70252,,,0.88427,5.74666,3.2961,0.32847,5.41819,3.79193,-0.49583,,6.30609
ihx,pump,,,,,5.36004,0.6999,4.0825,-0.0379,,,,,,,,0.00382,
ihx,eva,,,,,5.70736,0.35258,5.37276,1.25237,,,,,,,,-0.12615,
ihx,exp,,,,,5.47906,0.58088,5.60337,1.48298,,,,,,,,-0.14938,
ihx,cond,,,,,5.60161,0.45833,5.46103,1.34064,,,,,,,,-0.13504,
exp,,31.29411,91.03992,35.88609,-4.59198,5.54601,0.51393,,,-0.57126,21.27772,10.01639,24.39994,-3.12221,11.48615,-1.46977,,8.44206
exp,pump,,,,,5.5487,0.51124,35.89952,0.01343,,,,,,,,0.0043,
exp,eva,,,,,5.87891,0.18103,35.29737,-0.58872,,,,,,,,-0.18843,
exp,ihx,,,,,5.47906,0.58088,35.28536,-0.60073,,,,,,,,-0.19228,
exp,cond,,,,,5.78997,0.26997,33.04139,-2.84469,,,,,,,,-0.91051,
cond,,41.4951,,38.00429,3.49081,5.67374,0.3862,,,0.04527,17.14476,24.35034,16.05212,1.09264,21.95217,2.39818,,14.62434
cond,pump,,,,,5.67632,0.38362,38.06122,0.05693,,,,,,,,0.03911,
cond,eva,,,,,6.01611,0.04383,40.27093,2.26664,,,,,,,,1.55717,
cond,ihx,,,,,5.60161,0.45833,38.35224,0.34795,,,,,,,,0.23904,
cond,exp,,,,,5.78997,0.26997,38.77832,0.77403,,,,,,,,0.53175,
