k,l,ED [kW],epsilon [%],ED EN [kW],ED EX [kW],m EN [kg/s],m EX [kg/s],ED kl [kW],ED EX kl [kW],ED MX [kW],ED UN [kW],ED AV [kW],ED UN EN [kW],ED UN EX [kW],ED AV EN [kW],ED AV EX [kW],ED AV EX kl [kW],ED AV SUM [kW]
comp,,71.10531,90.02056,65.1848,5.92051,10.01826,-0.49515,,,-0.23805,36.21633,34.88898,33.20082,3.01551,31.98398,2.905,,29.02719
comp,cond,,,,,9.59375,-0.07064,65.90761,0.72281,,,,,,,,0.35466,
comp,ihx,,,,,10.24965,-0.72654,66.34732,1.16252,,,,,,,,0.57041,
comp,val,,,,,10.01826,-0.49515,65.1848,0.0,,,,,,,,0.0,
comp,eva,,,,,9.73399,-0.21088,69.45803,4.27323,,,,,,,,2.09673,
cond,,81.03905,85.65571,81.03905,-0.0,10.04819,-0.52508,,,0.0,67.68332,13.35573,67.68332,-0.0,13.35573,0.0,,16.13959
cond,comp,,,,,9.59375,-0.07064,81.03905,-0.0,,,,,,,,0.0,
cond,ihx,,,,,10.29285,-0.76974,81.03905,-0.0,,,,,,,,0.0,
cond,val,,,,,10.04819,-0.52508,81.03905,0.0,,,,,,,,-0.0,
cond,eva,,,,,9.7742,-0.25109,81.03905,-0.0,,,,,,,,0.0,
ihx,,26.24969,63.17782,22.23345,4.01624,10.68511,-1.162,,,-1.43297,20.01684,6.23285,19.0691,0.94774,3.16435,3.0685,,9.614
ihx,comp,,,,,10.24965,-0.72654,21.32744,-0.90601,,,,,,,,-0.69222,
ihx,cond,,,,,10.29285,-0.76974,25.14931,2.91586,,,,,,,,2.22778,
ihx,val,,,,,10.68511,-1.162,22.23345,0.0,,,,,,,,0.0,
ihx,eva,,,,,10.40378,-0.88067,25.67282,3.43937,,,,,,,,2.62776,
val,,18.32578,58.21542,12.87702,5.44877,10.43622,-0.91311,,,0.11623,18.32578,-0.0,20.08292,-1.75714,-7.20591,7.20591,,-7.38889
val,comp,,,,,10.01826,-0.49515,12.07196,-0.80505,,,,,,,,-1.06467,
val,cond,,,,,10.04819,-0.52508,14.04092,1.1639,,,,,,,,1.53924,
val,ihx,,,,,10.68511,-1.162,17.49257,4.61556,,,,,,,,6.104,
val,eva,,,,,10.16801,-0.6449,13.23514,0.35813,,,,,,,,0.47362,
eva,,31.88044,,35.80895,-3.92852,10.16801,-0.6449,,,-0.16644,12.59208,19.28836,13.44481,-0.85273,22.36414,-3.07579,,27.56226
eva,comp,,,,,9.73399,-0.21088,34.27639,-1.53256,,,,,,,,-1.1999,
eva,cond,,,,,9.7742,-0.25109,34.10024,-1.70872,,,,,,,,-1.33782,
eva,ihx,,,,,10.40378,-0.88067,35.52187,-0.28709,,,,,,,,-0.22477,
eva,val,,,,,10.16801,-0.6449,35.57524,-0.23371,,,,,,,,-0.18298,
