Label,Component,ED [kW]
all_real,pump,1.296978
all_real,eva,50.300134
all_real,ihx,4.767476
all_real,exp,16.090293
all_real,cond,25.527337
all_real,tot,97.982219
all_ideal,pump,-0.0
all_ideal,eva,0.0
all_ideal,ihx,0.0
all_ideal,exp,0.0
all_ideal,cond,0.031434
all_ideal,tot,0.031434
pump,pump,1.433591
pump,eva,0.0
pump,ihx,-0.0
pump,exp,-0.0
pump,cond,0.038428
pump,tot,1.472019
eva,pump,-0.0
eva,eva,54.213438
eva,ihx,-0.0
eva,exp,0.0
eva,cond,0.028999
eva,tot,54.242437
ihx,pump,-0.0
ihx,eva,-0.0
ihx,ihx,2.675862
ihx,exp,0.0
ihx,cond,0.295629
ihx,tot,2.971491
exp,pump,0.0
exp,eva,0.0
exp,ihx,-0.0
exp,exp,19.147338
exp,cond,0.031704
exp,tot,19.179042
cond,pump,0.0
cond,eva,-0.0
cond,ihx,0.0
cond,exp,0.0
cond,cond,23.652893
cond,tot,23.652893
pump_eva,pump,1.301814
pump_eva,eva,54.176119
pump_eva,ihx,0.0
pump_eva,exp,-0.0
pump_eva,cond,0.034908
pump_eva,tot,55.51284
pump_ihx,pump,1.44924
pump_ihx,eva,0.0
pump_ihx,ihx,2.652166
pump_ihx,exp,-0.0
pump_ihx,cond,0.316548
pump_ihx,tot,4.417954
pump_exp,pump,1.44469
pump_exp,eva,-0.0
pump_exp,ihx,0.0
pump_exp,exp,19.154742
pump_exp,cond,0.038712
pump_exp,tot,20.638144
pump_cond,pump,1.428719
pump_cond,eva,-0.0
pump_cond,ihx,0.0
pump_cond,exp,0.0
pump_cond,cond,23.687648
pump_cond,tot,25.116367
eva_ihx,pump,0.0
eva_ihx,eva,55.861844
eva_ihx,ihx,3.342578
eva_ihx,exp,0.0
eva_ihx,cond,0.299518
eva_ihx,tot,59.50394
eva_exp,pump,0.0
eva_exp,eva,52.61808
eva_exp,ihx,-0.0
eva_exp,exp,18.499348
eva_exp,cond,0.029121
eva_exp,tot,71.146549
eva_cond,pump,0.0
eva_cond,eva,50.258816
eva_cond,ihx,-0.0
eva_cond,exp,-0.0
eva_cond,cond,24.829133
eva_cond,tot,75.087949
ihx_exp,pump,0.0
ihx_exp,eva,-0.0
ihx_exp,ihx,3.354737
ihx_exp,exp,18.713644
ihx_exp,cond,0.300338
ihx_exp,tot,22.36872
ihx_cond,pump,-0.0
ihx_cond,eva,-0.0
ihx_cond,ihx,3.256372
ihx_cond,exp,0.0
ihx_cond,cond,23.894276
ihx_cond,tot,27.150648
exp_cond,pump,0.0
exp_cond,eva,0.0
exp_cond,ihx,0.0
exp_cond,exp,17.431328
exp_cond,cond,24.06098
exp_cond,tot,41.492308
pump_unavoid,pump,0.386892
pump_unavoid,eva,50.316145
pump_unavoid,ihx,4.787878
pump_unavoid,exp,16.08836
pump_unavoid,cond,25.497358
pump_unavoid,tot,97.076633
eva_unavoid,pump,1.432613
eva_unavoid,eva,40.867836
eva_unavoid,ihx,4.277634
eva_unavoid,exp,17.214624
eva_unavoid,cond,25.331803
eva_unavoid,tot,89.124509
ihx_unavoid,pump,1.288905
ihx_unavoid,eva,49.43142
ihx_unavoid,ihx,3.619036
ihx_unavoid,exp,16.273451
ihx_unavoid,cond,25.322087
ihx_unavoid,tot,95.934899
exp_unavoid,pump,1.296526
exp_unavoid,eva,50.837072
exp_unavoid,ihx,4.387682
exp_unavoid,exp,8.034618
exp_unavoid,cond,25.341622
exp_unavoid,tot,89.897521
cond_unavoid,pump,1.332972
cond_unavoid,eva,52.370414
cond_unavoid,ihx,4.343611
cond_unavoid,exp,17.603247
cond_unavoid,cond,10.332019
cond_unavoid,tot,85.982263
