k,l,ED [kW],epsilon [%],ED EN [kW],ED EX [kW],m EN [kg/s],m EX [kg/s],ED kl [kW],ED EX kl [kW],ED MX [kW],ED UN [kW],ED AV [kW],ED UN EN [kW],ED UN EX [kW],ED AV EN [kW],ED AV EX [kW],ED AV EX kl [kW],ED AV SUM [kW]
pump,,1.29698,85.30421,1.43359,-0.13661,5.24932,0.53191,,,-0.02671,0.38787,0.90911,0.42872,-0.04085,1.00487,-0.09576,,0.92783
pump,eva,,,,,5.53382,0.24741,1.30181,-0.13178,,,,,,,,-0.09237,
pump,ihx,,,,,5.16355,0.61768,1.44924,0.01565,,,,,,,,0.01097,
pump,exp,,,,,5.34909,0.43214,1.44469,0.0111,,,,,,,,0.00778,
pump,cond,,,,,5.50889,0.27234,1.42872,-0.00487,,,,,,,,-0.00341,
eva,,50.30013,79.80153,54.21344,-3.9133,5.5319,0.24933,,,0.02559,39.01602,11.28412,38.24772,0.76829,15.96572,-4.6816,,11.25351
eva,pump,,,,,5.53382,0.24741,54.17612,-0.03732,,,,,,,,-0.04465,
eva,ihx,,,,,5.45246,0.32877,55.86184,1.64841,,,,,,,,1.97204,
eva,exp,,,,,5.62004,0.16119,52.61808,-1.59536,,,,,,,,-1.90857,
eva,cond,,,,,5.78466,-0.00343,50.25882,-3.95462,,,,,,,,-4.73103,
ihx,,4.76748,49.12344,2.67586,2.09161,5.16126,0.61997,,,0.18921,2.76526,2.00221,0.24558,2.51968,2.43028,-0.42807,,2.04094
ihx,pump,,,,,5.16355,0.61768,2.65217,-0.0237,,,,,,,,0.00485,
ihx,eva,,,,,5.45246,0.32877,3.34258,0.66672,,,,,,,,-0.13645,
ihx,exp,,,,,5.26031,0.52092,3.35474,0.67888,,,,,,,,-0.13894,
ihx,cond,,,,,5.41223,0.369,3.25637,0.58051,,,,,,,,-0.11881,
exp,,16.09029,90.85587,19.14734,-3.05705,5.34671,0.43452,,,-0.26675,7.648,8.44229,9.10107,-1.45307,10.04627,-1.60398,,8.58225
exp,pump,,,,,5.34909,0.43214,19.15474,0.0074,,,,,,,,0.00388,
exp,eva,,,,,5.62004,0.16119,18.49935,-0.64799,,,,,,,,-0.33999,
exp,ihx,,,,,5.26031,0.52092,18.71364,-0.43369,,,,,,,,-0.22755,
exp,cond,,,,,5.60196,0.17927,17.43133,-1.71601,,,,,,,,-0.90036,
cond,,25.52734,,23.65289,1.87444,5.50662,0.27461,,,0.01398,10.60008,14.92726,10.09658,0.50351,13.55632,1.37094,,14.91703
cond,pump,,,,,5.50889,0.27234,23.68765,0.03475,,,,,,,,0.02542,
cond,eva,,,,,5.78466,-0.00343,24.82913,1.17624,,,,,,,,0.86028,
cond,ihx,,,,,5.41223,0.369,23.89428,0.24138,,,,,,,,0.17654,
cond,exp,,,,,5.60196,0.17927,24.06098,0.40809,,,,,,,,0.29847,
